&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;  994 ;NLMCS _CJMCHAPEL_06074_UEE               ;      9999 ;1.0 ;1; 
EOLICA ; 1034 ;I3VERD_Verde Vale III_06173_UFV          ;      9999 ;1.0 ;0; 
EOLICA ; 1035 ;IDCJCT_CJCAETITE123_06195_UEE            ;      9999 ;1.0 ;1; 
EOLICA ; 1089 ;I3EVB2_Ventos da Bahia II_06342_UEE      ;      9999 ;1.0 ;0; 
EOLICA ; 1090 ;I3EVB4_Ventos da Bahia IV_06342_UEE      ;      9999 ;1.0 ;0; 
EOLICA ; 1091 ;I3EVB8_Ventos da Bahia VIII_06342_UEE    ;      9999 ;1.0 ;0; 
EOLICA ; 1107 ;DSBMC _CJBMACAUBAS_06370_UEE             ;      9999 ;1.0 ;1; 
EOLICA ; 1108 ;DSUEMA_MACAUBAS_06370_UEE                ;      9999 ;1.0 ;1; 
EOLICA ; 1109 ;DSUENH_N.HORIZONTE_06370_UEE             ;      9999 ;1.0 ;1; 
EOLICA ; 1110 ;DSUESE_SEABRA_06370_UEE                  ;      9999 ;1.0 ;1; 
&XXXXXXXXXX ;XXXXX ;XXXXX ;
&           ;CODIGO;BARRA ;
&XXXXXXXXXX ;XXXXX ;XXXXX ;
EOLICABARRA ;  994 ;06074 ;
EOLICABARRA ; 1034 ;06173 ;
EOLICABARRA ; 1035 ;06195 ;
EOLICABARRA ; 1089 ;06342 ;
EOLICABARRA ; 1090 ;06342 ;
EOLICABARRA ; 1091 ;06342 ;
EOLICABARRA ; 1107 ;06370 ;
EOLICABARRA ; 1108 ;06370 ;
EOLICABARRA ; 1109 ;06370 ;
EOLICABARRA ; 1110 ;06370 ;
&XXXXXXXXXX;XXXXX ;XX ;
&          ;CODIGO;SBM;
&XXXXXXXXXX;XXXXX ;XX ;
EOLICASUBM ;  994 ;NE ;
EOLICASUBM ; 1034 ;NE ;
EOLICASUBM ; 1035 ;NE ;
EOLICASUBM ; 1089 ;NE ;
EOLICASUBM ; 1090 ;NE ;
EOLICASUBM ; 1091 ;NE ;
EOLICASUBM ; 1107 ;NE ;
EOLICASUBM ; 1108 ;NE ;
EOLICASUBM ; 1109 ;NE ;
EOLICASUBM ; 1110 ;NE ;
&XXXXXXXXXXXXXX;XXXXX ;XX ;XX ;X ;XX ;XX ;X ;XXXXXXXXXX ;
EOLICA-GERACAO ;  994 ; 4 ;12 ;1 ; 4 ;13 ;0 ;        45 ;
EOLICA-GERACAO ;  994 ; 4 ;13 ;0 ; 4 ;13 ;1 ;        44 ;
EOLICA-GERACAO ;  994 ; 4 ;13 ;1 ; 4 ;14 ;0 ;      42.5 ;
EOLICA-GERACAO ;  994 ; 4 ;14 ;0 ; 4 ;14 ;1 ;      40.5 ;
EOLICA-GERACAO ;  994 ; 4 ;14 ;1 ; 4 ;15 ;0 ;        38 ;
EOLICA-GERACAO ;  994 ; 4 ;15 ;0 ; 4 ;15 ;1 ;        36 ;
EOLICA-GERACAO ;  994 ; 4 ;15 ;1 ; 4 ;16 ;0 ;      34.5 ;
EOLICA-GERACAO ;  994 ; 4 ;16 ;0 ; 4 ;16 ;1 ;        34 ;
EOLICA-GERACAO ;  994 ; 4 ;16 ;1 ; 4 ;17 ;0 ;        35 ;
EOLICA-GERACAO ;  994 ; 4 ;17 ;0 ; 4 ;17 ;1 ;      37.5 ;
EOLICA-GERACAO ;  994 ; 4 ;17 ;1 ; 4 ;18 ;0 ;        41 ;
EOLICA-GERACAO ;  994 ; 4 ;18 ;0 ; 4 ;18 ;1 ;        47 ;
EOLICA-GERACAO ;  994 ; 4 ;18 ;1 ; 4 ;19 ;0 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 4 ;19 ;0 ; 4 ;19 ;1 ;        58 ;
EOLICA-GERACAO ;  994 ; 4 ;19 ;1 ; 4 ;20 ;0 ;        59 ;
EOLICA-GERACAO ;  994 ; 4 ;20 ;0 ; 4 ;21 ;0 ;      59.5 ;
EOLICA-GERACAO ;  994 ; 4 ;21 ;0 ; 4 ;21 ;1 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 4 ;21 ;1 ; 5 ; 0 ;0 ;      61.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 0 ;0 ; 5 ; 0 ;1 ;        61 ;
EOLICA-GERACAO ;  994 ; 5 ; 0 ;1 ; 5 ; 1 ;0 ;      58.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 1 ;0 ; 5 ; 1 ;1 ;      56.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 1 ;1 ; 5 ; 2 ;0 ;      54.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 2 ;0 ; 5 ; 2 ;1 ;      52.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 2 ;1 ; 5 ; 3 ;0 ;      51.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 3 ;0 ; 5 ; 3 ;1 ;        51 ;
EOLICA-GERACAO ;  994 ; 5 ; 3 ;1 ; 5 ; 4 ;0 ;      51.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 4 ;0 ; 5 ; 5 ;0 ;      52.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 5 ;0 ; 5 ; 5 ;1 ;        53 ;
EOLICA-GERACAO ;  994 ; 5 ; 5 ;1 ; 5 ; 6 ;0 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 6 ;0 ; 5 ; 6 ;1 ;        53 ;
EOLICA-GERACAO ;  994 ; 5 ; 6 ;1 ; 5 ; 7 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 5 ; 7 ;0 ; 5 ; 7 ;1 ;      51.5 ;
EOLICA-GERACAO ;  994 ; 5 ; 7 ;1 ; 5 ; 8 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 5 ; 8 ;0 ; 5 ; 9 ;0 ;        53 ;
EOLICA-GERACAO ;  994 ; 5 ; 9 ;0 ; 5 ; 9 ;1 ;        51 ;
EOLICA-GERACAO ;  994 ; 5 ; 9 ;1 ; 5 ;10 ;0 ;        48 ;
EOLICA-GERACAO ;  994 ; 5 ;10 ;0 ; 5 ;10 ;1 ;      45.5 ;
EOLICA-GERACAO ;  994 ; 5 ;10 ;1 ; 5 ;11 ;0 ;        43 ;
EOLICA-GERACAO ;  994 ; 5 ;11 ;0 ; 5 ;11 ;1 ;      41.5 ;
EOLICA-GERACAO ;  994 ; 5 ;11 ;1 ; 5 ;12 ;0 ;      39.5 ;
EOLICA-GERACAO ;  994 ; 5 ;12 ;0 ; 5 ;12 ;1 ;        38 ;
EOLICA-GERACAO ;  994 ; 5 ;12 ;1 ; 5 ;13 ;0 ;      36.5 ;
EOLICA-GERACAO ;  994 ; 5 ;13 ;0 ; 5 ;13 ;1 ;      33.5 ;
EOLICA-GERACAO ;  994 ; 5 ;13 ;1 ; 5 ;14 ;0 ;        31 ;
EOLICA-GERACAO ;  994 ; 5 ;14 ;0 ; 5 ;14 ;1 ;        29 ;
EOLICA-GERACAO ;  994 ; 5 ;14 ;1 ; 5 ;15 ;1 ;        28 ;
EOLICA-GERACAO ;  994 ; 5 ;15 ;1 ; 5 ;16 ;0 ;        29 ;
EOLICA-GERACAO ;  994 ; 5 ;16 ;0 ; 5 ;16 ;1 ;        31 ;
EOLICA-GERACAO ;  994 ; 5 ;16 ;1 ; 5 ;17 ;0 ;        34 ;
EOLICA-GERACAO ;  994 ; 5 ;17 ;0 ; 5 ;17 ;1 ;        37 ;
EOLICA-GERACAO ;  994 ; 5 ;17 ;1 ; 5 ;18 ;0 ;      40.5 ;
EOLICA-GERACAO ;  994 ; 5 ;18 ;0 ; 5 ;18 ;1 ;        45 ;
EOLICA-GERACAO ;  994 ; 5 ;18 ;1 ; 5 ;19 ;0 ;      49.5 ;
EOLICA-GERACAO ;  994 ; 5 ;19 ;0 ; 5 ;19 ;1 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 5 ;19 ;1 ; 5 ;20 ;0 ;        56 ;
EOLICA-GERACAO ;  994 ; 5 ;20 ;0 ; 5 ;20 ;1 ;        58 ;
EOLICA-GERACAO ;  994 ; 5 ;20 ;1 ; 5 ;21 ;0 ;        59 ;
EOLICA-GERACAO ;  994 ; 5 ;21 ;0 ; 5 ;21 ;1 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 5 ;21 ;1 ; 5 ;22 ;0 ;        61 ;
EOLICA-GERACAO ;  994 ; 5 ;22 ;0 ; 5 ;22 ;1 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 5 ;22 ;1 ; 5 ;23 ;1 ;        60 ;
EOLICA-GERACAO ;  994 ; 5 ;23 ;1 ; 6 ; 0 ;0 ;      59.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 0 ;0 ; 6 ; 0 ;1 ;      63.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 0 ;1 ; 6 ; 1 ;0 ;      61.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 1 ;0 ; 6 ; 1 ;1 ;      59.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 1 ;1 ; 6 ; 2 ;0 ;        57 ;
EOLICA-GERACAO ;  994 ; 6 ; 2 ;0 ; 6 ; 2 ;1 ;        55 ;
EOLICA-GERACAO ;  994 ; 6 ; 2 ;1 ; 6 ; 3 ;0 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 3 ;0 ; 6 ; 3 ;1 ;      52.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 3 ;1 ; 6 ; 4 ;0 ;        53 ;
EOLICA-GERACAO ;  994 ; 6 ; 4 ;0 ; 6 ; 4 ;1 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 4 ;1 ; 6 ; 5 ;0 ;        54 ;
EOLICA-GERACAO ;  994 ; 6 ; 5 ;0 ; 6 ; 5 ;1 ;        55 ;
EOLICA-GERACAO ;  994 ; 6 ; 5 ;1 ; 6 ; 6 ;0 ;        56 ;
EOLICA-GERACAO ;  994 ; 6 ; 6 ;0 ; 6 ; 7 ;0 ;      56.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 7 ;0 ; 6 ; 7 ;1 ;        56 ;
EOLICA-GERACAO ;  994 ; 6 ; 7 ;1 ; 6 ; 8 ;0 ;      56.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 8 ;0 ; 6 ; 8 ;1 ;      57.5 ;
EOLICA-GERACAO ;  994 ; 6 ; 8 ;1 ; 6 ; 9 ;0 ;        57 ;
EOLICA-GERACAO ;  994 ; 6 ; 9 ;0 ; 6 ; 9 ;1 ;        54 ;
EOLICA-GERACAO ;  994 ; 6 ; 9 ;1 ; 6 ;10 ;0 ;        50 ;
EOLICA-GERACAO ;  994 ; 6 ;10 ;0 ; 6 ;10 ;1 ;      45.5 ;
EOLICA-GERACAO ;  994 ; 6 ;10 ;1 ; 6 ;11 ;0 ;      41.5 ;
EOLICA-GERACAO ;  994 ; 6 ;11 ;0 ; 6 ;11 ;1 ;        38 ;
EOLICA-GERACAO ;  994 ; 6 ;11 ;1 ; 6 ;12 ;0 ;      34.5 ;
EOLICA-GERACAO ;  994 ; 6 ;12 ;0 ; 6 ;12 ;1 ;      32.5 ;
EOLICA-GERACAO ;  994 ; 6 ;12 ;1 ; 6 ;13 ;0 ;        30 ;
EOLICA-GERACAO ;  994 ; 6 ;13 ;0 ; 6 ;13 ;1 ;        28 ;
EOLICA-GERACAO ;  994 ; 6 ;13 ;1 ; 6 ;14 ;0 ;        26 ;
EOLICA-GERACAO ;  994 ; 6 ;14 ;0 ; 6 ;14 ;1 ;      24.5 ;
EOLICA-GERACAO ;  994 ; 6 ;14 ;1 ; 6 ;15 ;0 ;      23.5 ;
EOLICA-GERACAO ;  994 ; 6 ;15 ;0 ; 6 ;15 ;1 ;        24 ;
EOLICA-GERACAO ;  994 ; 6 ;15 ;1 ; 6 ;16 ;0 ;        26 ;
EOLICA-GERACAO ;  994 ; 6 ;16 ;0 ; 6 ;16 ;1 ;        28 ;
EOLICA-GERACAO ;  994 ; 6 ;16 ;1 ; 6 ;17 ;0 ;        31 ;
EOLICA-GERACAO ;  994 ; 6 ;17 ;0 ; 6 ;17 ;1 ;      34.5 ;
EOLICA-GERACAO ;  994 ; 6 ;17 ;1 ; 6 ;18 ;0 ;      37.5 ;
EOLICA-GERACAO ;  994 ; 6 ;18 ;0 ; 6 ;18 ;1 ;      41.5 ;
EOLICA-GERACAO ;  994 ; 6 ;18 ;1 ; 6 ;19 ;0 ;        46 ;
EOLICA-GERACAO ;  994 ; 6 ;19 ;0 ; 6 ;19 ;1 ;      50.5 ;
EOLICA-GERACAO ;  994 ; 6 ;19 ;1 ; 6 ;20 ;0 ;        54 ;
EOLICA-GERACAO ;  994 ; 6 ;20 ;0 ; 6 ;20 ;1 ;        57 ;
EOLICA-GERACAO ;  994 ; 6 ;20 ;1 ; 6 ;21 ;0 ;      59.5 ;
EOLICA-GERACAO ;  994 ; 6 ;21 ;0 ; 6 ;21 ;1 ;        62 ;
EOLICA-GERACAO ;  994 ; 6 ;21 ;1 ; 6 ;23 ;0 ;      63.5 ;
EOLICA-GERACAO ;  994 ; 6 ;23 ;0 ; 6 ;23 ;1 ;      62.5 ;
EOLICA-GERACAO ;  994 ; 6 ;23 ;1 ; 7 ; 0 ;0 ;      61.5 ;
EOLICA-GERACAO ;  994 ; 7 ; 0 ;0 ; 7 ; 0 ;1 ;        61 ;
EOLICA-GERACAO ;  994 ; 7 ; 0 ;1 ; 7 ; 1 ;0 ;        59 ;
EOLICA-GERACAO ;  994 ; 7 ; 1 ;0 ; 7 ; 1 ;1 ;        57 ;
EOLICA-GERACAO ;  994 ; 7 ; 1 ;1 ; 7 ; 2 ;0 ;        55 ;
EOLICA-GERACAO ;  994 ; 7 ; 2 ;0 ; 7 ; 2 ;1 ;        53 ;
EOLICA-GERACAO ;  994 ; 7 ; 2 ;1 ; 7 ; 3 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 7 ; 3 ;0 ; 7 ; 3 ;1 ;      51.5 ;
EOLICA-GERACAO ;  994 ; 7 ; 3 ;1 ; 7 ; 4 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 7 ; 4 ;0 ; 7 ; 6 ;0 ;        53 ;
EOLICA-GERACAO ;  994 ; 7 ; 6 ;0 ; 7 ; 6 ;1 ;      52.5 ;
EOLICA-GERACAO ;  994 ; 7 ; 6 ;1 ; 7 ; 7 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 7 ; 7 ;0 ; 7 ; 7 ;1 ;      52.5 ;
EOLICA-GERACAO ;  994 ; 7 ; 7 ;1 ; 7 ; 8 ;0 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 7 ; 8 ;0 ; 7 ; 8 ;1 ;        55 ;
EOLICA-GERACAO ;  994 ; 7 ; 8 ;1 ; 7 ; 9 ;0 ;      55.5 ;
EOLICA-GERACAO ;  994 ; 7 ; 9 ;0 ; 7 ; 9 ;1 ;        53 ;
EOLICA-GERACAO ;  994 ; 7 ; 9 ;1 ; 7 ;10 ;0 ;      49.5 ;
EOLICA-GERACAO ;  994 ; 7 ;10 ;0 ; 7 ;10 ;1 ;      45.5 ;
EOLICA-GERACAO ;  994 ; 7 ;10 ;1 ; 7 ;11 ;0 ;      41.5 ;
EOLICA-GERACAO ;  994 ; 7 ;11 ;0 ; 7 ;11 ;1 ;        38 ;
EOLICA-GERACAO ;  994 ; 7 ;11 ;1 ; 7 ;12 ;0 ;      34.5 ;
EOLICA-GERACAO ;  994 ; 7 ;12 ;0 ; 7 ;12 ;1 ;        32 ;
EOLICA-GERACAO ;  994 ; 7 ;12 ;1 ; 7 ;13 ;0 ;      29.5 ;
EOLICA-GERACAO ;  994 ; 7 ;13 ;0 ; 7 ;13 ;1 ;        28 ;
EOLICA-GERACAO ;  994 ; 7 ;13 ;1 ; 7 ;14 ;0 ;        27 ;
EOLICA-GERACAO ;  994 ; 7 ;14 ;0 ; 7 ;15 ;0 ;      26.5 ;
EOLICA-GERACAO ;  994 ; 7 ;15 ;0 ; 7 ;15 ;1 ;        27 ;
EOLICA-GERACAO ;  994 ; 7 ;15 ;1 ; 7 ;16 ;0 ;      27.5 ;
EOLICA-GERACAO ;  994 ; 7 ;16 ;0 ; 7 ;16 ;1 ;      28.5 ;
EOLICA-GERACAO ;  994 ; 7 ;16 ;1 ; 7 ;17 ;0 ;        30 ;
EOLICA-GERACAO ;  994 ; 7 ;17 ;0 ; 7 ;17 ;1 ;      32.5 ;
EOLICA-GERACAO ;  994 ; 7 ;17 ;1 ; 7 ;18 ;0 ;        35 ;
EOLICA-GERACAO ;  994 ; 7 ;18 ;0 ; 7 ;18 ;1 ;      38.5 ;
EOLICA-GERACAO ;  994 ; 7 ;18 ;1 ; 7 ;19 ;0 ;        43 ;
EOLICA-GERACAO ;  994 ; 7 ;19 ;0 ; 7 ;19 ;1 ;        48 ;
EOLICA-GERACAO ;  994 ; 7 ;19 ;1 ; 7 ;20 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 7 ;20 ;0 ; 7 ;20 ;1 ;        56 ;
EOLICA-GERACAO ;  994 ; 7 ;20 ;1 ; 7 ;21 ;0 ;        59 ;
EOLICA-GERACAO ;  994 ; 7 ;21 ;0 ; 7 ;21 ;1 ;      61.5 ;
EOLICA-GERACAO ;  994 ; 7 ;21 ;1 ; 7 ;22 ;1 ;      62.5 ;
EOLICA-GERACAO ;  994 ; 7 ;22 ;1 ; 7 ;23 ;0 ;        62 ;
EOLICA-GERACAO ;  994 ; 7 ;23 ;0 ; 7 ;23 ;1 ;        61 ;
EOLICA-GERACAO ;  994 ; 7 ;23 ;1 ; 8 ; 0 ;1 ;      59.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 0 ;1 ; 8 ; 1 ;0 ;        58 ;
EOLICA-GERACAO ;  994 ; 8 ; 1 ;0 ; 8 ; 1 ;1 ;      56.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 1 ;1 ; 8 ; 2 ;0 ;        55 ;
EOLICA-GERACAO ;  994 ; 8 ; 2 ;0 ; 8 ; 2 ;1 ;      53.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 2 ;1 ; 8 ; 3 ;0 ;        53 ;
EOLICA-GERACAO ;  994 ; 8 ; 3 ;0 ; 8 ; 3 ;1 ;        52 ;
EOLICA-GERACAO ;  994 ; 8 ; 3 ;1 ; 8 ; 4 ;1 ;      52.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 4 ;1 ; 8 ; 5 ;1 ;        52 ;
EOLICA-GERACAO ;  994 ; 8 ; 5 ;1 ; 8 ; 6 ;0 ;      51.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 6 ;0 ; 8 ; 6 ;1 ;        50 ;
EOLICA-GERACAO ;  994 ; 8 ; 6 ;1 ; 8 ; 7 ;0 ;        48 ;
EOLICA-GERACAO ;  994 ; 8 ; 7 ;0 ; 8 ; 7 ;1 ;      46.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 7 ;1 ; 8 ; 8 ;0 ;        45 ;
EOLICA-GERACAO ;  994 ; 8 ; 8 ;0 ; 8 ; 8 ;1 ;      43.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 8 ;1 ; 8 ; 9 ;0 ;        41 ;
EOLICA-GERACAO ;  994 ; 8 ; 9 ;0 ; 8 ; 9 ;1 ;      36.5 ;
EOLICA-GERACAO ;  994 ; 8 ; 9 ;1 ; 8 ;10 ;0 ;      31.5 ;
EOLICA-GERACAO ;  994 ; 8 ;10 ;0 ; 8 ;10 ;1 ;        28 ;
EOLICA-GERACAO ;  994 ; 8 ;10 ;1 ; 8 ;11 ;0 ;        25 ;
EOLICA-GERACAO ;  994 ; 8 ;11 ;0 ; 8 ;11 ;1 ;        23 ;
EOLICA-GERACAO ;  994 ; 8 ;11 ;1 ; 8 ;13 ;0 ;        22 ;
EOLICA-GERACAO ;  994 ; 8 ;13 ;0 ; 8 ;13 ;1 ;      22.5 ;
EOLICA-GERACAO ;  994 ; 8 ;13 ;1 ; 8 ;14 ;0 ;      23.5 ;
EOLICA-GERACAO ;  994 ; 8 ;14 ;0 ; 8 ;14 ;1 ;        25 ;
EOLICA-GERACAO ;  994 ; 8 ;14 ;1 ; 8 ;15 ;0 ;      26.5 ;
EOLICA-GERACAO ;  994 ; 8 ;15 ;0 ; 8 ;15 ;1 ;        29 ;
EOLICA-GERACAO ;  994 ; 8 ;15 ;1 ; 8 ;16 ;0 ;        31 ;
EOLICA-GERACAO ;  994 ; 8 ;16 ;0 ; 8 ;16 ;1 ;      32.5 ;
EOLICA-GERACAO ;  994 ; 8 ;16 ;1 ; 8 ;17 ;0 ;        35 ;
EOLICA-GERACAO ;  994 ; 8 ;17 ;0 ; 8 ;17 ;1 ;      38.5 ;
EOLICA-GERACAO ;  994 ; 8 ;17 ;1 ; 8 ;18 ;0 ;      42.5 ;
EOLICA-GERACAO ;  994 ; 8 ;18 ;0 ; 8 ;18 ;1 ;      47.5 ;
EOLICA-GERACAO ;  994 ; 8 ;18 ;1 ; 8 ;19 ;0 ;        52 ;
EOLICA-GERACAO ;  994 ; 8 ;19 ;0 ; 8 ;19 ;1 ;      55.5 ;
EOLICA-GERACAO ;  994 ; 8 ;19 ;1 ; 8 ;20 ;0 ;      57.5 ;
EOLICA-GERACAO ;  994 ; 8 ;20 ;0 ; 8 ;20 ;1 ;        59 ;
EOLICA-GERACAO ;  994 ; 8 ;20 ;1 ; 8 ;21 ;0 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 8 ;21 ;0 ; 8 ;21 ;1 ;        62 ;
EOLICA-GERACAO ;  994 ; 8 ;21 ;1 ; 8 ;22 ;0 ;      62.5 ;
EOLICA-GERACAO ;  994 ; 8 ;22 ;0 ; 8 ;22 ;1 ;        62 ;
EOLICA-GERACAO ;  994 ; 8 ;22 ;1 ; 8 ;23 ;0 ;        61 ;
